"* Required Fields","* Erforderliche Felder"
"-- No Status Change --","-- Keine Statusänderung --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentifikation"
"3D Secure failed","3D Secure ist fehlgeschlagen."
"3D Secure sucess","3D Secure erfolgreich"
"A authorized transaction cannot be authorized again.","Eine autorisierte Transaktion kann nicht noch einmal autorisiert werden."
"A authorized transaction cannot be marked as failed.","Eine autorisierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be authorized.","Eine stornierte Transaktion kann nicht autorisiert werden."
"A cancelled transaction cannot be cancelled again.","Eine stornierte Transaktion kann nicht noch einmal storniert werden."
"A cancelled transaction cannot be captured.","Eine stornierte Transaktion kann nicht verbucht werden."
"A cancelled transaction cannot be marked as failed.","Eine stornierte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A cancelled transaction cannot be refunded.","Eine stornierte Transaktion kann nicht gutgeschrieben werden."
"A captured transaction cannot be authorized.","Eine gebuchte Transaktion kann nicht autorisiert werden."
"A captured transaction cannot be cancelled.","Eine gebuchte Transaktion kann nicht storniert werden."
"A captured transaction cannot be marked as failed.","Eine verbuchte Transaktion kann nicht als fehlgeschlagen markiert werden."
"A failed authorization cannot be authorized.","Eine fehlgeschlagene Transaktion kann nicht autorisiert werden."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Manche Zahlungsmethoden sind für gewisse Länder nicht erlaubt. Hier können Sie definieren zu welchem Zeitpunkt der Verfügbarkeits-Check durchgeführt werden soll. Wir empfehlen 'Während der Autorisierung'."
"A refund was added over !amount.","Eine Gutschrift über '!amount' wurde hinzugefügt."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Eine Transaktion kann unsicher sein wenn die Bezahlung nicht garantiert ist. Zum Beispiel wenn die Kreditkarte nicht Teil des 3D Secure Prozesses ist."
"AVS data is invalid or AVS is not allowed for this card type.","AVS Angabe ungültig oder AVS ist für diesen Kartentyp nicht erlaubt"
"About","Über"
"Account Holder Name","Kontoinhaber"
"Account owner name.","Kontoinhaber"
"Action","Aktion"
"Actions","Aktionen"
"Activate","Aktiv"
"Activate the payment method and test.","Aktivieren Sie die Zahlungsmethode und testen Sie sie."
"Active","Aktiv"
"Additional Information","Zusätzliche Informationen"
"Address Verification Result","Resultat der Adressverifizierung"
"Address information unavailable. Returned if the U.S. bank does not support non-U.S. AVS or if the AVS in a U.S. bank is not functioning properly.","Adressinformationen stehen nicht zur Verfügung (In der Regel der Fall falls die US Bank non-US AVS nicht akzeptiert oder die AVS in einer US Bank nicht korrekt funktioniert)."
"Address not verified.","Adresse nicht verifiziert"
"Adjust Qty","Anzahl anpassen"
"Adjustment Discount","Korrektur-Ermässigung"
"Adjustment Fee","Bearbeitungsgebühr"
"After payment selection","Nach der Wahl der Zahlungsmethode"
"After selecting the payment method","Nach der Auswahl der Zahlungsmethode"
"Ajax authorization not supported.","Ajax-Autorisierung wird nicht unterstützt."
"Alias","Alias"
"Alias For Display","Beispiel-Alias"
"Alias Manager Account","Alias Manager"
"All Customers","Alle Kunden"
"Allowed Currencies","Erlaubte Währungen"
"Allowed currencies for this payment method","Erlaubte Währungen für diese Zahlungsmethode"
"Already registered?","Bereits registriert?"
"Always Checkout as Guest","Immer als Gast auschecken"
"American Express","American Express"
"Amount","Betrag"
"Amount Incl. Tax","Betrag inkl. Steuern"
"An SVG image (scalability) provided by the merchant. The image needs to be uploaded by using the Datatrans Web Administration Tool.","Sie haben die Möglichkeit ein Bild im .svg Format im Backend von Datatrans hochzuladen."
"An error ocurred.","Ein Fehler ist aufgetreten."
"Are you sure you want to cancel this order?","Sind Sie sicher, dass Sie diese Bestellung stornieren möchten?"
"Author","Autor"
"Authorization Amount","Autorisierungsbetrag"
"Authorization Failed","Autorisierung fehlgeschlagen"
"Authorization Method","Autorisierungsmethode"
"Authorization Number","Autorisierungsnummer"
"Authorization Status","Autorisierungsstatus"
"Authorization is uncertain.","Autorisierung ist unsicher"
"Authorized Status","Autorisationsstatus"
"Await Notification","Benachrichtigung abwarten"
"Awaiting confirmation","Warten auf die Bestätigung"
"BIC","BIC"
"Bad signature format.","Das Format der Signatur ist fehlerhaft"
"Bank Location","Bank Standort"
"Bank Name","Name der Bank"
"Bank account number","Bankkonto"
"Bank code number","Bankcodenummer"
"Bank does not support AVS.","Die Bank unterstützt den AVS nicht"
"Before payment selection","Vor der Wahl der Zahlungsmethode"
"Before showing the payment method","Vor Auswahl der Zahlungsmethode"
"Billing Address","Rechnungsadresse"
"Billing Information","Rechnungsinformationen"
"Billing address","Billing address"
"Billing address is sent","Rechnungsadresse an Datatrans übermitteln"
"Bonuscard","Bonuscard"
"Brand Color","Brand Farbe"
"Brand Name","Markenname"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","Mit den Einstellungen zur Verbuchung kann eine Reservierung entweder direkt nach der Bestellung oder nachträglich im Backend des Shops verbucht werden."
"CVC Code","CVC Code"
"CVC: The user is asked for the CVC. (default)","CVC: Der Nutzer wird nach der CVC gefragt (Standard)"
"Cancel","Stornieren"
"Cancel ID","Stornierungs ID"
"Cancel failed with an unknown error.","Annulierung der Transaktion unbekanntem Error fehlgeschlagen."
"Cancel pending orders when out of stock","Ausstehende Bestellungen stornieren, wenn der Artikel nicht mehr an Lager ist."
"Cancel status","Stornierungsstatus"
"Canceled DatatransCw","Abbrechen DatatransCw"
"Canceling of this payment not possible!","Stornieren dieser Zahlung ist nicht möglich!"
"Cancelled Status","Status für abgebrochene Bestellungen"
"Cancelled by the customer.","Durch Kunden annuliert"
"Cannot update item quantity.","Die Artikelanzahl kann nicht aktualisiert werden."
"Capture Amount","Buchungsbetrag"
"Capture ID","Buchungs ID"
"Capture amount","Verbuchungsbetrag"
"Capture information","Buchungs Informationen"
"Capture status","Verbuchungsstatus"
"Capture: Don't Close","Verbuchung: Nicht schliessen"
"Captured Amount","Verbuchter Betrag"
"Captured Status","Verbuchungsstatus"
"Captures","Verbuchungen"
"Captures & Refunds","Verbuchungen & Gutschriften"
"Capturing","Verbuchung"
"Card Expiration","Kartenablaufdatum"
"Card Expiry","Ablaufdatum der Karte"
"Card Holder","Karteninhaber"
"Card Holder Name","Karteninhaber"
"Card Number","Kartennummer"
"Card member's name and billing address match, but billing postal code does not match.","Karteninhaber und Rechnungsadresse stimmen überein. Postleitzahl stimmt nicht überein."
"Card member's name and billing postal code match, but billing address does not match.","Karteninhaber und Rechnungsadresse stimmen überein. Postleitzahl stimmt nicht überein."
"Card member's name does not match, but billing postal code matches.","Postleitzahl stimmt überein. Karteninhaber stimmt nicht überein."
"Card member's name does not match, but street address matches.","Strasse stimmt überein. Karteninhaber stimmt nicht überein."
"Card member's name does not match. Street address and postal code match.","Strasse und Postleitzahl stimmen überein. Strasse des Karteninhabers stimmt nicht überein."
"Card member's name matches but billing address and billing postal code do not match.","Karteninhaber stimmt überein. Rechnungsadresse und Postleitzahl Strasse stimmen nicht überein."
"Card member's name, billing address, and billing postal code match.","Karteninhaber, Rechnungsadresse und Postleitzahl stimmen überein"
"Card member's name, billing address, and postal code match.","Karteninhaber, Rechnungsadresse und Postleitzahl stimmen überein"
"Card number must not be empty.","Kartennummer obligatorisch."
"Carrier Title","Carrier Title"
"Check out faster","Schnelleres Bestellen"
"Check to activate the external checkout.","Markieren Sie dieses Feld um den externen Checkout zu aktivieren."
"Checkout","Checkout"
"Checkout as Guest","Als Gast zur Kasse gehen"
"Checkout as a Guest or Register","Als Gast zur Kasse gehen oder ein Kundenkonto erstellen"
"Checkout as a new customer","Als Neukunde bestellen"
"Checkout using your account","Über Ihr Benutzerkonto bestellen"
"Checkout with MasterPass.","Bezahlen mit MasterPass."
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status. For captured payments, an invoice is always created.","Wählen Sie 'Erstellung nach Bestellung' falls Sie möchten, dass eine Rechung zu Ihrer Bestellung generiert wird. Der status der Rechnung wird anhand Ihres Buchungs Status gesetzt. Für verbuchte Zahlungen wird stets eine Rechnung erstellt."
"Company Commercial Number","Handelsregisternummer der Firma"
"Company Registry Number","Firmen Registriernummer"
"Confirm Password","Passwort bestätigen"
"Continue","Fortfahren"
"Copy the URL Post that you find below (notification URL) into the Datatrans Backend (Section UPP Administration > UPP Data).","Kopieren Sie die untenstehende URL Post ins Datatrans Backend unter  UPP Administration > UPP Data."
"Could not convert object of type '!type' to string.","Konvertierung eines Objektes vom Typ '!type' ist fehlgeschlagen."
"Could not find a brand for the given card number.","Es konnte keinen Brand für die gegebene Karte gefunden werden."
"Could not find an adapter for the authorization method !methodName.","Für die Autorisierungsmethode !methodName konnte kein Adapter gefunden werden."
"Could not find an adapter for the authoriztion method !methodName.","Es konnte kein Adapter für die Autorisierungsmethode !methodName gefunden werden."
"Could not find pressed button.","Der Button konnte nicht gefunden werden"
"Could not find template file at default location '!location'.","Konnte kein Template auf dem Standard Pfad unter '!location' finden."
"Could not find the payment method !paymentMethodName.","Zahlungsmethode '!paymentMethodName' konnte nicht gefunden werden."
"Could not load layout from URL !url. Reason: !reason","Das Layout konnte nicht von !url geladen werden. Grund: !reason"
"Create Account","Benutzerkonto erstellen"
"Create New Order - Payment","Neue Bestellung erstellen - Zahlung"
"Create a recurring payment, with an existing alias is not supported","Mit einem existierenden Alias ist die Erstellung einer wiederkehrenden Zahlung nicht möglich."
"Creating an account has many benefits:","Die Erstellung eines Benutzerkontos bringt viele Vorteile mit sich:"
"Creation Date","Erstellungsdatum"
"Credit Card Brands","Kreditkartenbrand"
"Credit Card Customer Country","Ausstellungsland der Kreditkarte"
"Credit Memo History","Gutschrifthistorie"
"Credit Memo Totals","Gutschrift Total"
"Credit memo's total must be positive.","Der Gesamtbetrag der Gutschrift muss positiv sein."
"CreditPass Purchase Type","CreditPass Purchase Type"
"Currency","Währung"
"Currency !currency not supported, must be CHF","Die Währung !currency wird nicht unterstützt. Bitte geben Sie als Währung CHF an."
"Current Configuration Scope:","Scope der Konfiguration:"
"Customer Account","Kundenkonto"
"Customer Address","Kundenadresse"
"Customer Alias Management","Kunden Alias Management"
"Customer successfully returned from DatatransCw","Kunde ist erfolgreich von DatatransCw zurückgekehrt"
"Customer successfully returned from Datatrans","Der Kunde ist erfolgreich von der DatatransCw Payment Page zurückgekehrt."
"Customer sucessfully returned from the DatatransCw payment page.","Der Kunde ist erfolgreich von der DatatransCw Payment Page zurückgekehrt."
"Customers","Kunden"
"Customweb","Customweb"
"Dankort","Dankort"
"Date","Datum"
"Date of Birth","Geburtsdatum"
"Day","Tag"
"Deactivate","Deaktivieren"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Sehr geehrter Kunde wir haben Ihre Rechnungs- und Lieferinformationen erhalten. Um Ihre Bestellung abschliessen zu können, bitten wir Sie ein Account zu erstellen oder sich als Gast anzumelden."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Sehr geehrter Kunde, es scheint, dass Ihre Zahlung erfolgreich war, aber wir warten immer noch auf eine Bestätigung. Sie können auf dieser Seite warten, und wir leiten Sie weiter nachdem wir die Bestätigung erhalten haben. Oder Sie können dieses Fenster schliessen und wir senden Ihnen eine Auftragsbestätigung später per Email."
"Decides if the pay button should have the same color as the brandColor. Possible Values: &quot;true&quot; or &quot;false&quot;. If set to false the hex color #01669F will be used as a default.","Legt fest, ob der 'Zahlen'-Button auch in der Unternehmensfarbe angezeigt werden soll. Mögliche Werte &quot;true&quot; oder &quot;false&quot;. Falls kein Wert angegeben wird, wird #01669F als Standardwert verwendet."
"Decides whether the logo shall be styled with a border around it, if the value is true the default background color is chosen, else the provided string is used as color value. Possible values: colors in hexadecimal code (#FFFFFF) or &quot;true&quot; or &quot;false&quot;","Gibt an, ob das Logo eine Umrandung haben soll. Wenn der Wert wahr ist, wird standardmässig die Hintergrundfarbe ausgewählt, ansonsten wird der angegebene Wert verwendet. Mögliche Werte: Farbe im Hexadezimalcode (#FFFFFF) oder &quot;true&quot; or &quot;false&quot;"
"Default Account","Standard Account"
"Default Config","Standard Konfiguration"
"Default Values","Standardwerte"
"Deferred","Verzögert"
"Deferred (authorization)","Verzögert (Autorisierung)"
"Deferred capturing","Verzögerte Buchung"
"Deferred settlement","Verzögerte Erstellung"
"Define a maximal order total for this checkout to be available.","Definieren Sie einen Maximalbestellwert für den Checkout."
"Define a minimal order total for this checkout to be available.","Definieren Sie einen Mindestbestellwert, der erreicht werden muss um den Checkout verfügbar zu machen."
"Delayed","Verzögert"
"Delete","Löschen"
"Delivery address","Delivery address"
"Delivery address is sent","Lieferadresse gesendet"
"Description","Beschreibung"
"Diners Club","Diners Club"
"Direct Debits","Lastschrift"
"Direct E-Banking","Sofortüberweisung"
"Direct capture after order","Direkte Buchung nach der Bestellung"
"Directly after order","Direkte Buchung nach der Bestellung"
"Directly after order (sale)","Direkte Buchung nach der Bestellung"
"Disabled","Deaktiviert"
"Discount","Rabatt"
"Discount Amount","Rabattbetrag"
"Do not mark them","Nicht markieren"
"Don't change order status","Bestellstatus nicht verändern."
"During authorization","Während der Autorisation"
"During the authorization","Während der Autorisation"
"ESR Data","ESR Daten"
"EasyPay Title","EasyPay Title"
"Edit","Bearbeiten"
"Edit Invoice %s","Rechnung bearbeiten %s"
"Email Address","E-Mail Adresse"
"Empty version number field name","Leerer Versionsnummer-Feldname"
"Enable or disable logging.","Erfassung aktivieren oder deaktivieren."
"Enable the payment method","Diese Zahlungsmethode aktivieren"
"Enabled","Aktiviert"
"Enter the Live MerchantID.","Bitte geben Sie die Live Merchant ID ein."
"Enter the date on which your card expires.","Geben Sie das Ablaufdatum der Karte ein."
"Error during Update: !msg","Fehler während der Aktualisierung: !msg"
"Error with the length of the validation date.","Bitte kontrollieren Sie das Gültigkeitsdatum."
"ErrorCode: !code","ErrorCode: !code"
"Excl. Tax","Exkl. Steuern"
"External Checkout","Externer Checkout"
"External Checkout: Guest Checkout","External Checkout: Gast Checkout"
"Failed","Fehlgeschlagen"
"Failed payment authorization.","Die Autorisierung ist fehlgeschlagen."
"Female","Weiblich"
"Figure !number:","Abbildung !number:"
"Forgot Your Password?","Haben Sie Ihr Passwort vergessen?"
"Forgot your password?","Passwort vergessen?"
"Gender","Geschlecht"
"German ELV transactions can be processed with an integrated credit and address check. The merchant has to agree with CreditPass (Telego) the test rules. The test rule is referred to by a 'Purchase Type'. If you don't want to use this feature, you can leave this field empty.","Deutsche ELV Transaktionen können mit Kredit- und Adressverifizierung integriert werden. Der Händler muss sich mit den CreditPass (Telego) Test Regeln einverstanden erklären. Durch die Definition des 'Purchase Type' kann die Testregel spezifiert werden. Falls Sie das Feature nicht benutzen möchten, können Sie das Feld leer lassen."
"Get Update","Aktualisieren"
"Header Color","Farbe des Headers"
"Here you can define a Shop ID. This is only necessary if you wish to operate several shops with one Datatrans account. In order to use this module, an additional module is required.","Hier können Sie die Shop ID festlegen. Dies ist nur notwendig, wenn Sie mehrere Shops mit einer PSP ID steuern möchten. Um diese Option zu nutzen, ist ein zusätzliches Modul notwendig."
"Here you can insert a transaction prefix. The prefix allows you to change the transaction number that is transmitted to Datatrans. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Datatrans übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Hier können Sie einen Bestellpräfix eingeben. Der Präfix erlaubt es Ihnen, die Bestellnummer, die an Datatrans übermittelt wird, zu verändern. Der Präfix muss den Tag {id} enthalten. Dieser wird anschliessend durch die Bestellnummer ersetzt (z.B. name_{id})."
"Here you can set if the invoice will be sent by you together with the product. In this case Datatrans will provide additional data for printing an ESR slip. This feature must be active with the processor as well as Datatrans. You must then process this data yourself. Only supported by Powerpay. Otherwise Powerpay will send the invoice in your stead.","Hier können Sie einstellen, ob die Rechnung zusammen mit dem Produkt gesendet wird. In diesem Fall liefert ____paymentServiceProviderName__ zusätzliche Daten zum Drucken eines ESR Einzahlungsscheins. Diese Funktion muss sowohl mit dem Processor als auch mit ____paymentServiceProviderName__ aktiv sein. Diese Daten müssen Sie dann selbst verarbeiten. Nur unterstützt von Powerpay. Andernfalls sendet Powerpay die Rechnung an Sie."
"Here you can specify the text, which is shown to the customer on the Easypay website. If the text contains the tag {id}, it will be replaced with the order number.","Hier können Sie den Text angeben, der dem Kunden auf der EasyPay Website angezeigt wird. Falls der Text den tag {id} beinhaltet, wird er mit der Bestellnumer ersetzt."
"Hide","Verbergen"
"IBAN","IBAN"
"IBAN number","Bankkonto"
"IFrame Height","Iframe Höhe"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Sofern nur noch ein Produkt an Lager ist und die Bezahlung des Kunden (der genau dieses Produkt kauft) fehlschlägt, wird das Produkt solange reserviert bis die Bestellung annuliert wird (vgl. Timeout Option). Aktivieren Sie diese Option, falls Sie NICHT möchten, dass das Produkt reserviert wird. Die Bestellung wird dann bei fehlgeschlagener oder abgebrochener Zahlung sofort annuliert."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Der Artikel wird während der Zeit, wenn ein Kunde im Checkout ist reserverit. Aktivieren Sie diese Option, damit der Bestand bei fehlgeschlagenen Zahlungen direkt wieder freigegeben wird. Ansonsten erfolgt die Freigabe erst, wenn der Cron Job die ausstehenden Bestellungen cancelled."
"If it is not applicable leave the field empty.","Falls nicht zutreffend, lassen Sie dieses Feld leer."
"If no liability shift is given for a transaction, should the transaction be marked as uncertain?","Falls eine Zahlung ohne Haftungsumkehr erfolgt, soll die Transaktion als unsicher markiert werden?"
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Transaktion erfolgreich storniert wurde."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Wenn der Status 'Ausstehend' ist, dann ist unklar ob die Verbuchung erfolgreich war."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Wenn der Status 'Ausstehend' ist, dann ist es unklar, ob die Gutschrift erfolgreich war."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Dieser Account wird benutzt, wenn der Testmodus ausgewählt ist. Andernfalls wird der konfigurierte Account benutzt."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Zögern Sie nicht, uns zu kontaktieren falls Sie ein Problem mit dem Modul haben. Auf unserer <a href='https://www.sellxed.com/de/support' target='_blank'>Support Seite</a> finden Sie weitere Informationen."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Falls Sie Recurring Payments anbieten möchten, brauchen Sie das Magnet Modul ""Customweb Subscription"". Weitere Informationen finden Sie unter <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Iframe Theme Name","Name des Iframe Themes"
"Image Brand Selection","Auswahl des Kartenlogos"
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your live account.","Falls Sie Sicherheitslevel 2 benutzen, können Sie eine separate Sign-Passphrase (sign2) für den Aufruf von Datatrans an Ihren Server aktivieren. In diesem Feld können Sie eine zweite Sign-Passpharse für Ihr Live Konto festlegen."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account.","Falls Sie Sicherheitslevel 2 benutzen, können Sie ein separates Sign (sign2) für den Aufruf von Datatrans an Ihren Server aktivieren. In diesem Feld können Sie ein zweites Sign für Ihr Test Konto eingeben."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Falls Sie Sicherheitslevel 2 benutzen, können Sie ein separates Sign (sign2) für den Aufruf von Datatrans an Ihren Server aktivieren. In diesem Feld können Sie ein zweites Sign für Ihr Test Konto eingeben. Diese Option wird nur für Mail and Phone Orders (MoTo) und für wiederkehrende Zahlungen gebraucht."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for mail and phone orders (MoTo) payments.","Sollten Sie das Sicherheitslevel 2 eingestellt haben, können Sie eine separate Passphrase (sign2) für die Anfrage von Datatrans in Ihrem Server aktivieren. In diesem Feld können Sie ein zweites Kennzeichen für Ihren Test Account festlegen. Diese Einstellung wird nur für E-Mail und Telefonbestellungen benutzt."
"In case you use security 2 you can activate a separate sign (sign2) for the request done by Datatrans to your server. In this field you can provide this second sign for your test account. This setting is used only for recurring payments.","Sollten Sie das Sicherheitslevel 2 eingestellt haben, können Sie ein separates Kennzeichen (sign2) für die Anfrage von Datatrans in Ihrem Server aktivieren. In diesem Feld können Sie ein zweites Kennzeichen für Ihren Test Account festlegen. Diese Einstellung wird nur für wiederkehrende Zahlungen benutzt."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account.","Falls Sie Security Level 1 oder 2 benutzen, müssen Sie eine Sign-Passphrase eingeben. Dieses kann im Backend von Datatrans in Ihrem Live-Konto gefunden werden."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Falls Sie Sicherheitslevel 1 oder 2 benutzen, müssen Sie einen Sign-Parameter eingeben. Dieser kann im Backend von Datatrans in Ihrem Live Konto gefunden werden. Diese Einstellung wird nur für Mail und Phone orders (MoTo) und für wiederkehrende Zahlungen benötigt."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for mail and phone orders (MoTo) payments.","Falls Sie Sicherheitslevel 1 oder 2 benutzen, müssen Sie einen Sign-Parameter eingeben. Dieser kann im Backend von Datatrans in Ihrem Live Konto gefunden werden. Diese Einstellung wird nur für Mail und Phone orders (MoTo) und für wiederkehrende Zahlungen benötigt."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your live account. This setting is used only for recurring payments.","Falls Sie das Sicherheitslevel 1 oder 2 benutzen, müssen Sie einen sign-Parameter setzen. Dies finden Sie im Backend von Datatrans in Ihrem Live Account. Diese Einstellung wird nur für wiederkehrende Zahlungen genutzt."
