"* Required Fields","* Erforderliche Felder"
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account.","Falls Sie Sicherheitslevel 1 oder 2 benutzen, müssen Sie eine Sign-Passphrase eingeben. Sie finden diese im Backend von Datatrans in Ihrem Test-Konto."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) and for recurring payments.","Falls Sie Sicherheitslevel 1 oder 2 benutzen, müssen Sie einen Sign-Parameter eingeben. Dieser kann im Backend von Datatrans in Ihrem Live Konto gefunden werden. Diese Einstellung wird nur für Mail und Phone orders (MoTo) und für wiederkehrende Zahlungen benötigt."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for mail and phone orders (MoTo) payments.","Falls Sie Sicherheitslevel 1 oder 2 benutzen, müssen Sie einen Sign-Parameter eingeben. Dieser kann im Backend von Datatrans in Ihrem Live Konto gefunden werden. Diese Einstellung wird nur für Mail und Phone orders (MoTo) und für wiederkehrende Zahlungen benötigt."
"In case you use security level 1 or 2 you have to provide a sign. This sign can be found in the backend of Datatrans of your test account. This setting is used only for recurring payments.","Falls Sie das Sicherheitslevel 1 oder 2 benutzen, müssen Sie einen sign-Parameter setzen. Diesen finden Sie im Backend von Datatrans in Ihrem Test Account. Diese Einstellung wird nur für wiederkehrende Zahlungen genutzt."
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Es kann in einigen Fällen ein paar Sekunden dauern bis die Transaktion erfolgreich genehmigt wird. Wenn diese Option aktiviert ist, wird die Benachrichtigung erwartet."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Es dauert teilweise etwas bis wir vom PSP die Nachricht der Zahlung erhalten. Das aktivieren dieser Option führt dazu, dass der Kunde im Checkout verzögert wird, bis die Notifikation vom PSP eintrifft."
"Inactive","Inaktiv"
"Incl. Tax","Inkl. Tax"
"Information","Information"
"Inline Theme Name","Name des Inline-Motivs"
"Invalid login or password.","Ungültiges Login oder Passwort."
"Invoice Items","Rechungsartikel"
"Invoice On Delivery","Rechnung bei Lieferung"
"Invoice Settlement","Verbuchung der Rechnung"
"Invoice Totals","Rechnungstotal"
"Invoice settlement","Rechungserstellung"
"Invoice was created successfully","Die Rechnung wurde erfolgreich erstellt"
"Invoices","Rechungen"
"Issue Number","Ausgabekartennummer"
"It is not possible to checkout in your country.","Es ist in Ihrem Land nicht möglich zu bezahlen."
"Item","Artikel"
"Items","Artikel"
"Items Refunded","Artikel zurückerstattet"
"JCB","JCB"
"Learn More","Mehr erfahren"
"Level 0: No Signatures","Level 0: keine Signaturen"
"Level 1: Basic Signatures","Level 1: Basis Signaturen"
"Level 2: Full Signatures (HMAC-MD5)","Level 2: Alle Signaturen (HMAC-MD5)"
"Level 2: Full Signatures (HMAC-SHA-256)","Stufe 2: Vollständige Signaturen (HMAC-SHA-256)"
"Liability Shift Behavior","Verhalten der Haftungsumkehr"
"Live Environment","Live Umgebung"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Modus"
"Live Password","Live Passwort"
"Live Rang (PBX_RANG)","Live Rang"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrieren"
"Login and password are required.","Login und Passwort sind erforderlich."
"Logo Border Color","Farbe der Logo-Umrandung"
"Logo Source","URL des Logos"
"Logo Style","Logo-Design"
"Maestro International","Maestro International"
"Mail Order / Telephone Order (MoTo)","Mail Order / Telephone Order (MoTo)"
"Mail order/telephone order authorization","Autorisierung von eMail-/Telefonbestellungen"
"Male","Männlich"
"Manage Stores","Shops verwalten"
"Manage Datatrans Aliases","Datatrans Aliasse verwalten"
"Mark transactions without liability shift as uncertain","Transaktionen ohne Haftungsumkehr als unsicher markieren"
"MasterCard","MasterCard"
"MasterPass","MasterPass"
"MasterPass: Order Confirmation","MasterPass: Bestellungsbestätigung"
"Maximum Order Total","Maximales Bestelltotal"
"Message","Nachricht"
"Method Title","Titel der Zahlungsmethode"
"Minimum Order Total","Minimales Bestelltotal"
"Mobile Device Detection","Erkennung des Mobile Device"
"Mobile Phone","Mobiltelefon"
"Month","Monat"
"My Datatrans Aliases","Meine Datatrans Aliasse"
"New Order","Neue Bestellung"
"New Order Status","Neuer Bestellstatus"
"New card","Neue Karte"
"Next Update Execution Date","Nächstes Ausführungsdatum für Updates"
"No","Nein"
"No Items","Keine Artikel"
"No additional payment information available.","Keine zusätzliche Zahlungsinformationen verfügbar"
"No address is sent","Es wurde keine Adresse übermittelt"
"No authorization method found for payment method !method.","Es konnte keine Autorisierungsmethode für die Zahlmethode '!method' gefunden werden."
"No button returned.","Kein Knopf erhalten."
"No refund possible.","Keine Rückvergütung möglich"
"No shipping method needed.","Keine Versandmethode benötigt."
"No, use the dropdown.","Dropdown-Menü benutzen"
"Non-U.S. issuing bank does not support AVS.","Non-US Herausgeber-Bank unterstützt den AVS nicht"
"Notification URL","Notification URL"
"ORG ID","ORG ID"
"ORG ID used for device fingerprint calls. Is supplied by Byjuno. If this is set but the solvency check is set to anything other than 'during the authorization' this will not be used.","ORG ID wird für Gerätefingerabdruck Anrufe verwendet.Wird von Byjuno zur Verfügung gestellt. Falls dies eingestellt ist aber die Bonitätsprüfung auf etwas anderes als 'während der Autorisierung' eingestellt ist wird dies nicht verwendet."
"One Click Checkout (Alias Manager)","Alias Manager"
"Only an authorized transaction can be marked as finally declined.","Nur autorisierte Transaktionen können als endgültig abgelehnt markiert werden."
"Only an uncertain transaction can be marked as finally declined.","Nur unsichere Transaktionen können als endgültig abgelehnt markiert werden."
"Only authorized transaction can be cancelled.","Nur autorisierte Transaktionen können storniert werden."
"Only authorized transaction can be captured.","Nur autorisierte Transaktionen können verbucht werden."
"Only authorized transaction can be refunded.","Nur autorsierte Transaktionen können gutgeschrieben werden."
"Only captured transaction can be refunded.","Nur gebuchte Transaktionen können gutgeschrieben werden."
"Only on captured transaction the flag customer refusing to pay can be set.","Nur bei bereits verbuchten Transaktionen kann ein Flag zur Markierung von Kunden, die nicht bezahlt haben, gesetzt werden."
"Operation Mode","Betriebsmodus"
"Order #","Bestellnummer"
"Order Grand Total","Gesamtsumme der Bestellung"
"Order Information","Bestellungsinformation"
"Order Prefix","Bestell-Präfix"
"Order Review","Bestellungsüberprüfung"
"Order Summary","Bestellzusammenfassung"
"Order Total","Bestelltotal"
"Order cancelled, because the customer was too long in the payment process of Datatrans.","Bestellung wurde abgebrochen, da der Kunde sich zu lange im Zahlungsprozess von Datatrans befand."
"Order was placed using %s","Order was placed using %s"
"Orders","Bestellungen"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Bestellungen, deren Zahlungen länger ausstehend bleiben als das definierte Timeout in Minuten, werden automatisch abgebrochen. Um dieses Feature benutzen zu können, müssen Sie Magento Cron aufsetzen."
"Paid Amount","Bezahlter Betrag"
"Partial refund not possible. You may retry with the total transaction amount.","Teilrückzahlung nicht möglich. Die Summe ist grösser als der verbuchte Gesamtbetrag."
"Password","Passwort"
"Password and password confirmation are not equal.","""Passwort"" und ""Passwort bestätigen"" stimmen nicht überein."
"Pay Button Color","Farbe des 'Zahlen' Buttons"
"Pay with ____paymentMethodName____","Zahlen mit ____paymentMethodName____"
"Payment","Zahlung"
"Payment Error Message: !message","Zahlungserror Nachricht: !message"
"Payment ID","Zahlungs-ID"
"Payment Id","Payment ID"
"Payment Information","Zahlungsinformationen"
"Payment Method","Zahlungsmethode"
"Payment Method Code","Code der Zahlungsmethode"
"Payment Method Selection Style","Design der Zahlungsmethodenauswahl"
"Payment captured successfully.","Die Zahlung wurde erfolgreich vebucht."
"Payment could not be authorized. Cancelling order. Reason : ","Die Zahlung konnte nicht autorisiert werden. Bestellung wird abgebrochen. Grund:"
"Payment details can be entered after placing the order","Die Zahlungsinformationen können eingegeben werden, nachdem die Bestellung bestätigt wurde."
"Payment from Applicable Countries","Zahlung von zutreffenden Ländern"
"Payment from Specific Countries","Zahlung von spezifischen Ländern"
"Payment from applicable countries","Zahlung von zutreffenden Ländern"
"Payment from specific countries","Zahlung von spezifischen Ländern"
"Payment is pending at DatatransCw","Zahlung ist bei DatatransCw ausstehend"
"Payment method description","Beschreibung der Zahlungsmethode"
"Payment with %s","Zahlung mit %s"
"Payment with Datatrans","Zahlung mit Datatrans"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Mit der Aktivierung dieser Option wird periodisch der Status der Zahlung via API Interface abgefragt. Um das Feature zu nutzen, muss der Magento Cron aktiviert sein."
"Pending","Ausstehend"
"Pending DatatransCw","Ausstehend  DatatransCw"
"Phone","Telefon"
"Phone number","Telefonnummer"
"Phone number must be set.","Sie müssen eine gültige Telefonnummer angeben."
"Place Order","Rechtsverbindlich bestellen"
"Please agree to all the terms and conditions before placing the order.","Bitte stimmen Sie vor dem Platzieren der Bestellung den allgemeinen Geschäftsbedingungen zu."
"Please check the entered CVC number.","Bitte überprüfen Sie den eingegebenen CVC."
"Please check the entered credit card number.","Bitte geben Sie eine Kreditkartennummer ein."
"Please enter here the Bank Identifier Code (BIC).","Bitte tragen Sie hier einen BIC ein (Bank identifier Code)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Bitte geben Sie hier den CVC Ihrer Karte ein. Sie finden diesen auf der Rückseite Ihrer Kreditkarte."
"Please enter here the International Bank Account Number (IBAN).","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the account holder name on the card.","Bitte geben Sie den Kontoinhaber an."
"Please enter here the account holder name.","Bitte tragen Sie hier den Kontoinhaber ein."
"Please enter here the account number of your bank account.","Bitte geben Sie die IBAN Ihres Bankkontos ein."
"Please enter here the bank code of your bank.","Bitte geben Sie den Bankcode Ihrer Bank ein."
"Please enter here the card holder name on the card.","Bitte geben Sie den Karteninhaber auf Ihrer Kreditkarte ein."
"Please enter here the commercial number of your company.","Sie müssen die Handelsregisternummer Ihrer Firma eingeben"
"Please enter here the name of the account owner.","Bitte geben Sie den Namen des Kontoinhabers an."
"Please enter here the number on your card.","Bitte geben Sie hier die Kartennummer Ihrer Kreditkarte ein."
"Please enter here the sales tax number of your company.","Bitte tragen Sie hier die Steuernummer Ihrer Firma ein."
"Please enter here your social security number.","Bitte geben Sie hier Ihre Sozialversicherungsnummer ein."
"Please enter the location of your bank.","Bitte geben Sie den Standort Ihrer Bank ein."
"Please enter the name of your bank.","Bitte geben Sie hier den Namen Ihrer Bank ein."
"Please enter your IBAN number.","Bitte geben Sie Ihre IBAN ein."
"Please enter your issue number, if there is no CVC code on your card.","Bitte geben Sie die Ausgabenummer von Ihrer Karte ein, falls Sie keinen CVC auf Ihrer Karte haben."
"Please enter your phone number.","Bitte geben Sie Ihre Telefonnummer ein."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte deaktivieren Sie Cache und versuchen Sie es erneut. Sollte dies nicht helfen, ändern Sie die Autorisationsmethode zu PaymentPage und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Bitte leeren oder deaktivieren Sie den Cache-Speicher und versuchen Sie es erneut. Falls dies nicht hilft, ändern Sie die Autorisationsmethode zu Payment Page und <a href=""%s"" target=""_blank"">kontaktieren Sie sellXed</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Bitte entleeren oder deaktivieren Sie Ihren Cache und versuchen Sie es erneut. Falls es immer noch nicht klappt, ändern Sie die Autorisierungsmethode zu PaymentPage und kontaktieren Sie <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Bitte loggen Sie sich ein:"
"Please select","-- Bitte wählen --"
"Please select a shipping method before sending the order.","Bitte wählen Sie vor dem Übermitteln der Bestellung eine Versandmethode aus."
"Please select the Bank Identifier Code (BIC) of your bank.","Wählen Sie einen BIC (Bank Identifier Code) Ihrer Bank."
"Please select the brand of your card.","Bitte wählen Sie Ihren Kreditkartenbrand aus."
"Please select the day of your birth.","Bitte wählen Sie den Tag Ihrer Geburt aus."
"Please select the expiry month on your card.","Bitte wählen Sie den Monat des Ablaufdatums auf Ihrer Kreditkarte aus."
"Please select the expiry year on your card.","Bitte geben Sie das Ablaufdatum der Karte ein."
"Please select the month of your birth.","Bitte wählen Sie den Monat Ihrer Geburt aus."
"Please select the processor for this payment method.","Bite wählen Sie den Verarbeiter für diese Zahlungsmethode aus."
"Please select the the year of your birth.","Bitte wählen Sie das Jahr Ihrer Geburt aus."
"Please select your gender.","Wählen Sie ihr Geschlecht"
"Please wait, processing your order...","Bitte warten, während die Bestellung verarbeitet wird..."
"Postal code matches, but street address not verified.","Postleitzahl stimmt überein. Adresse wurde nicht verifiziert."
"Powerpay","Powerpay"
"Price","Preis"
"Processor","Verarbeiter"
"Product","Produkt"
"Product Name","Produktname"
"Purchase Point","Einkaufsort"
"Qty","Anzahl"
"Recurring","Wiederkehrend"
"Recurring Payments","Abo Zahlungen"
"Redirect / Lightbox Styling","Weiterleitung / Lightbox Design"
"Refund Amount","Rückerstattungsbetrag"
"Refund ID","Rückvergütungs ID"
"Refund amount","Rückerstattungsbetrag"
"Refund information","Informationen zur Gutschrift"
"Refund status","Gutschriftsstatus"
"Refunded Amount","Rückerstattungsbetrag"
"Refunds","Gutschrift"
"Register","Registireren"
"Register to Create an Account","Registrieren, um ein Benutzerkonto zu erstellen"
"Register with us for future convenience:","Registrieren Sie sich bei uns für zukünftigen Komfort:"
"Release Date","Erscheinungsdatum"
"Reset","Zurücksetzen"
"Review","Übersicht"
"Rounding Adjustment","Rundungskorrekturen"
"Rounding adjustment.","Rundungskorrekturen"
"Row Total","Zeilensumme"
"SEPA Mandate ID","SEPA Mandats ID"
"SKU:","SKU:"
"Sales","Verkäufe"
"Sales Tax Number","Steuer Nummer"
"Save","Speichern"
"Saved cards:","Gespeicherte Karten:"
"Security Level","Sicherheitslevel"
"See order and shipping status","Bestell- und Versandstatus ansehen"
"Select Brand","Wählen Sie den Kartentyp aus."
"Select Card Type","Wählen Sie den Kartentyp aus."
"Select Method","Methode auswählen"
"Select the authorization method to use for processing this payment method.","Wählen Sie bitte die Autorisierungsmethode für diese Zahlweise. (Bitte beachten Sie, dass die Hidden Autorisierung für Kreditkarten (sofern vorhanden) zusätzliche Zertifizerungsanforderungen mit sich bringt SAQ-A-EP. Für weitere Informationen kontkatieren Sie bitte Datatrans)."
"Select the date of your birth.","Wählen Sie Ihr Geburtsdatum."
"Select the date on which your card expires.","Wählen Sie das Kartenablaufdatum."
"Select the security level you want to use. This value must correspond with the selected value in the back-end of Datatrans. Note: In case you use the mail and phone order (MoTo) or the recurring feature you have to set the security level in both account identically.","Wählen Sie das Sicherheitslevel, welches Sie benutzen möchten. Dieser Wert muss mit demjenigen vom Backend von Datatrans übereinstimmen. Bemerkung: Falls Sie Mail and Phone order (MoTo) oder wiederkehrende Zahlungen nutzen müssen Sie das Sicherheitslevel in beiden Kontos identisch setzen."
"Sellxed On Hold","Sellxed In Wartestellung"
"Send Invoice Email","Rechnungs-E-Mail senden"
"Send amounts to Datatrans in base currency.","Den Betrag an Datatrans  in der Standard Währung setteln"
"Send amounts to Datatrans in store's base currency.","Beträge in der Basiswährung des Shops an Datatrans senden."
"Send invoice email","Rechnungsmail versenden"
"Send the invoice email automatically after invoice creation.","Soll das Rechnungsemail direkt nach dem Erstellen der Rechnung versendet werden?"
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Wenn Sie 'Direkte Buchung' wählen, wird die Autorisierung direkt von der Kredit Karte des Kunden abgebucht. Bei 'Verzögerte Buchung' wird der Betrag verzögert zu einem von Ihnen definierten Zeitpunkt verbucht."
"Set the sign1, sign2 and the settlement parameter in the module exactly the same way as in the security configuration at Datatrans.","Geben Sie sign1, sign2 und die Erfassungsparameter im Modul genau so ein wie in den Sicherheitseinstellungen von Datatrans."
"Set the sort order to show the external checkouts.","Legen Sie die Reihenfolge fest, in der externe Checkouts angezeigt werden sollen."
"Settlement after order","Erstellung nach der Bestellung"
"Setup","Setup"
"Shipping & Handling","Shipping & Handling"
"Shipping Address","Lieferadresse"
"Shipping Address: The shipping address must be the same as during the initial transaction.","Lieferadresse: Die Lieferadresse muss mit der Adresse der ersten Transaktion übereinstimmen."
"Shipping Amount","Lieferkosten"
"Shipping Information","Versandinformationen"
"Shipping Method","Versandmethode"
"Shipping Methods","Versandmethoden"
"Shipping Refund","Rückerstattung der Lieferkosten"
"Shipping and billing addresses do not match.","Die Liefer- und die Rechnungsadresse stimmen nicht überein."
"Shop","Shop"
"Shop ID","Shop ID"
"Short Installation Instructions:","Kurzinstruktionen:"
"Should the amount be captured automatically after the order (direct) or should the amount only be reserved (deferred)?","Soll der Betrag nach der Bestellung automatisch abgesendet (direkt) oder nur reserviert werden (verzögert)?"
"Should the customer address be sent to Datatrans?","Soll die Kundenandresse an Datatrans gesendet werden? Wir empfehlen dies nicht zu tun."
"Show","Anzeigen"
"Show Account Selection","Account-Auswahl anzeigen"
"Show Further Settings and Information","Weitere Einstellungen und Informationen zeigen"
"Show Image","Bild anzeigen"
"Show Payment Id","Payment ID anzeigen"
"Show the payment id","Anzeigen der Zahlungs ID"
"Show the payment id in the order information","Zahlungs ID in der Bestellinformation anzeigen"
"Show the payment image","Anzeigen der Zahlungslogos"
"Show the payment image on the checkout page","Zahlungslogos im Checkout anzeigen"
"Sign 2 of Live Account","Sign 2 des Live Kontos"
"Sign 2 of Live MoTo Account","Sign 2 des Live MoTo Kontos"
"Sign 2 of Live Recurring Account","Sign2 des Live Recurring Account"
"Sign 2 of Test Account","Sign 2 des Test Kontos"
"Sign 2 of Test MoTo Account","Sign 2 des Test MoTo Kontos"
"Sign 2 of Test Recurring Account","Sign2 des Test Recurring Account"
"Sign In","Anmelden"
"Sign Settlement Requests","Settlement Anfragen signieren"
"Sign of Live Account","Sign des Live Kontos"
"Sign of Live MoTo Account","Sign des Live MoTo Kontos"
"Sign of Live Recurring Account","Sign des Live Recurring Account"
"Sign of Test Account","Sign des Test Kontos"
"Sign of Test MoTo Account","Sign des Test MoTo Kontos"
"Sign of Test Recurring Account","Sign für den Test Recurring Account"
"Social Security Number","Sozialversicherungsnummer"
"Solvency Check","Bonitätsprüfung"
"Sort Order","Sortierreihenfolgen"
"State must be set on address.","Bundesland muss auf Adresse gesetzt werden."
"Status","Status"
"Store the payment details","Speichere Zahlungsdaten"
"Stored payment details","Gespeicherte Zahlungsdetails"
"Street address and 5-digit postal code match.","Strasse und 5-ziffrige Postleitzahl stimmen überein"
"Street address and 9-digit postal code match.","Strasse und 9-ziffrige Postleitzahl stimmen überein"
"Street address and postal code do not match.","Strasse stimmt überein. 5-ziffrige Postleitzahl stimmt nicht überein."
"Street address and postal code match.","Strasse und Postleitzahl stimmen überein"
"Street address does not match, but 5-digit postal code matches.","5-ziffrige Postleitzahl stimmt überein. Strasse stimmt nicht überein."
"Street address does not match, but 9-digit postal code matches.","9-ziffrige Postleitzahl stimmt überein. Strasse stimmt nicht überein."
"Street address matches, but 5-digit and 9-digit postal code do not match.","Strasse stimmt überein. 5-ziffrige Postleitzahl stimmt nicht überein."
"Street address matches, but postal code not verified.","Strasse stimmt überein. Postleitzahl konnte nicht verifiziert werden."
"Styling Options","Design-Optionen"
"Submit Order","Bestellung absenden"
"Submitting order information...","Bestellungsinformation übermitteln..."
"Subtotal","Zwischensumme"
"Success","Erfolgreich"
"Successful","Erfolgreich"
"Successful online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Successful payment authorization.","Die Zahlung wurde erfolgreich autorisiert."
"Successfull online refund of amount","Der Betrag wurde online erfolgreich zurückerstattet."
"Support","Support"
"Swissbilling","Swissbilling"
"System unavailable.","System steht nicht zur Verfügung"
"Tax Amount","Steuerbetrag"
"Technical issue: This payment methods is not available at the moment.","Technisches Problem: Diese Zahlungsmethode ist zur Zeit nicht verfügbar."
"Test Environment","Testumgebung"
"Test Mode","Test Modus"
"Test Transaction","Testtransaktion"
"The HMAC key as defined in the live backoffice of Datatrans. You may need generate the HMAC key. Please take a look at the manual how to do this.","Der HMAC Key ist im Live Backoffice von Datatrans angegeben. Eventuell müssen Sie den HMAC Key noch generieren. Eine Anleitung dazu finden Sie im Manual."
"The SEPA mandate schema does not contain the tag '!tag'. This tag is required.","Das SEPA Mandat Scheme enthält leider nich die Bezeichnung '!tag'. Diese Bezeichnung ist aber Pflicht."
"The alias could not be found.","Der Alias konnte nicht gefunden werden."
"The alias has been deleted.","Der Alias wurde gelöscht"
"The alias transaction could not be conductet with error code: !code, and reason: !reason:","Die Alias Transaktion konnte nicht durchgeführt werden. Fehlermeldung: !code und Grund: !reason."
"The amount could not be verified.","Der Betrag konnte nicht verifiziert werden."
"The amount of !amount is authorized.","Der Betrag von '!amount' wurde autorisiert."
"The amount of !amount is captured.","Der Betrag von !amount ist verbucht."
"The amount of the transaction (!transactionAmount) and the amount of in the callback (!callbackAmount) do not correspond.","Die Betrag der Transaktion (!transactionAmount) und der Betrag des Callback  (!callbackAmount) stimmen nicht überein."
"The authorization method '!method' is not supported.","Die Autorisierungsmethode '!method' ist nicht unterstützt."
"The authorization number returned by credit card issuing bank.","Die Autorisierungsnummer, welche vom Karten Issuer retourniert wurde."
"The authorization status indicates the status of the transaction. The status may differ from the effective status, because this field is set direclty after the authorization and it may not be updated.","Der Autorisierungsstatus zeigt den Status der Transaktion an. Dieser Status kann vom effektiven Status abweichen, da es direkt nach der Autorisierung gesetzt und vielleicht nicht erneurt wird."
"The authorization was not successful","Autorisierungsfehler. Die Autorisierung war nicht erfolgreich."
"The bank account number field cannot be empty.","Das Bankkontonummer Feld muss ausgefüllt werden"
"The bank code field cannot be empty.","Das Bankcode Feld muss ausgefüllt sein"
"The brand of the credit card is detected by the card number if hidden authorization is used. If the payment page is used, the user has to select the brand. The allowed credit card brands can be restricted by this setting.","Der Kreditkartenanbieter wird anhand der Kartennummer falls Hidden Authorization benutzt wird. Wird die Zahlungsseite (Payment Page) benutzt, muss der Nutzer den Anbieter manuell auswählen. Über diese Einstellung können auch die akzeptierten Kreditkartenanbieter eingeschränkt werden."
"The brand with external name '!key' was not present in the map.","Der Kreditkartenbrand mit dem Namen '!key' konnte nicht zugeordnet werden."
"The brand with key '!key' was not found in the card information map.","Der Kreditkarten Brand mit dem '!key' wurde nicht gefunden in der Karteninformationsmap."
"The cancellation could not be conducted. Error code: !error.","Die Stornierung konnte nicht durchgeführt werden. Fehlercode: !error."
"The capture amount (!captureAmount) cannot be greater than the authorized amount (!authorizedAmount).","Der Verbuchungsbetrag von '!captureAmount' kann nicht grösser sein als der autorisierte Betrag von '!authorizedAmount'."
"The capture item with SKU '@sku' has a higher amount (@amountItem) as the original item (@amountOriginal).","Der verbuchte Artikel mit der Bestandseinheit @sku hat einen höheren Wert (@amountItem) als der ursprüngliche Artikel (@amountOriginal)."
"The capture item with SKU '@sku' is not present in the original order.","Der verbuchte Artikel mit der Bestandseinheit @sku ist in der ursprünglichen Bestellung nicht vorhanden."
"The capturing could not be conducted. Error code: !error.","Die Verbuchung konnte nicht durchgeführt werden. Fehlercode: !error."
"The card brand selection is automatically done depending on the entered card number. If no Javascript is active in the browser, a drop down is shown. In case JavaScript a the brand logos can be shown. Should the brand selection using images?","Die Auswahl des Kartenanbieters wird abhängig von der eingegebenen Kartennummer automatisch durchgeführt. Falls JavaScript im Browser nicht aktiviert ist, wird ein Dropdown-Menü angezeigt. Ist JavaScript aktiv, können die Logos der Anbieter gezeigt werden, sofern die Image Brand Selection aktiviert ist."
"The checkout process was not successful. Please try again.","Der Checkout-Prozess war nicht erfolgreich. Bitte versuchen Sie es erneut."
